2_deg,,4_deg,,6_deg,,8_deg,,10_deg,
X,Y,X,Y,X,Y,X,Y,X,Y
0.00793126239259756,0.2922013820335636,0.00793126239259756,0.6100691016781836,0.01586252478519501,0.981243830207305,0.00793126239259756,1.433366238894373,0.027759418374091238,1.996051332675222
0.21414408460013223,0.30997038499506413,0.1546596166556511,0.6298124383020731,0.15862524785194976,1.0187561697926948,0.16655651024454732,1.474827245804541,0.14672835426305364,2.035538005923001
0.4044943820224718,0.31589338598223105,0.31328486450760096,0.6515301085883514,0.3172504957038996,1.0345508390918063,0.341044282881692,1.4925962487660414,0.38070059484467955,2.067127344521224
0.602775941837409,0.30997038499506413,0.4679444811632518,0.6456071076011844,0.46001321877065426,1.0365251727541953,0.40052875082617323,1.4945705824284303,0.2696629213483147,2.0612043435340572
0.8050231328486452,0.29022704837117486,0.602775941837409,0.6317867719644619,0.602775941837409,1.0108588351431391,0.5472571050892268,1.4807502467917077,0.511566424322538,2.0552813425468903
1.0033046926635822,0.31589338598223105,0.713813615333774,0.6179664363277393,0.6939854593522803,0.9930898321816386,0.6384666226040978,1.4531095755182626,0.606741573033708,2.023692003948667
1.193654990085922,0.35735439289239856,0.7891606080634501,0.6001974333662388,0.8208856576338399,0.9575518262586376,0.7217448777263715,1.4155972359328726,0.6781229345670852,1.9763079960513326
1.4395241242564438,0.3376110562685093,0.9081295439524124,0.6120434353405726,0.9596827495042961,0.9753208292201383,0.8010575016523462,1.3741362290227048,0.7455386649041638,1.9348469891411648
1.6060806345009913,0.3237907206317867,1.0270984798413747,0.6554787759131293,1.054857898215466,1.0523198420533069,0.8605419695968277,1.3761105626850938,0.88433575677462,1.8736426456071076
1.8162590879048248,0.3040473840078972,1.193654990085922,0.7147087857847976,1.1698612029081297,1.1036525172754195,0.9557171183079975,1.4096742349457059,0.9834765366820886,1.9091806515301086
2.014540647719762,0.2922013820335636,1.3721083939193655,0.696939782823297,1.2491738268341044,1.1095755182625862,1.038995373430271,1.4629812438302072,1.038995373430271,1.9545903257650543
2.307997356245869,0.27245804540967433,1.6259087904824852,0.659427443237907,1.3641771315267681,1.085883514313919,1.0786516853932584,1.4965449160908193,1.098479841374752,2.009871668311945
2.5697290152015864,0.2546890424481736,1.83212161269002,0.6278381046396839,1.5267680105750165,1.0365251727541953,1.150033046926636,1.5320829220138203,1.1460674157303372,2.0473840078973344
2.8830138797091873,0.24481737413622895,1.9907468605419698,0.6061204343534057,1.693324520819564,0.9970384995064165,1.2174487772637144,1.5557749259624876,1.2174487772637144,2.0612043435340572
3.176470588235294,0.2290227048371174,2.141440846001322,0.5883514313919052,1.8479841374752146,0.9575518262586376,1.320555188367482,1.5301085883514314,1.300727032385988,2.039486673247779
3.4064771976206214,0.2171767028627838,2.3952412425644414,0.5547877591312931,2.141440846001322,0.9002961500493583,1.4990085922009255,1.4570582428430403,0.8089887640449438,1.9091806515301086
3.620621282220753,0.21322803553800584,2.641110376734964,0.521224086870681,2.4309319233311304,0.8410661401776898,1.7290152015862525,1.3741362290227048,1.4395241242564438,1.96248766041461
3.874421678783873,0.201382033563672,2.8750826173165893,0.4955577492596248,2.6926635822868477,0.7936821322803553,2.0541969596827494,1.2694965449160907,1.6497025776602778,1.8460019743336624
4.124256444150694,0.19545903257650532,3.1606080634500993,0.4659427443237907,2.9226701916721747,0.7482724580454096,2.538003965631196,1.1293188548864759,2.0066093853271645,1.680157946692991
4.334434897554527,0.18953603158933863,3.41044282881692,0.4461994076999012,3.128883013879709,0.7206317867719643,3.005948446794448,1.0049358341559722,2.4071381361533377,1.5143139190523196
4.596166556510244,0.1836130306021717,3.711830799735625,0.43040473840078963,3.3707865168539324,0.6910167818361301,3.3271645736946462,0.9358341559723593,2.8195637805684073,1.3563672260612043
4.806345009914079,0.17966436327739377,3.9220092531394575,0.41658440276406705,3.688037012557832,0.6535044422507401,3.783212161269002,0.8627838104639685,3.2240581625908793,1.2319842053307006
5.028420356906807,0.17966436327739377,4.175809649702577,0.4007897334649555,3.985459352280238,0.6238894373149062,4.215465961665565,0.8075024679170779,3.616655651024455,1.123395853899309
5.226701916721744,0.17966436327739377,4.520819563780568,0.39091806515301086,4.247191011235955,0.6061204343534057,4.623925974884335,0.7719644619940769,4.017184401850628,1.0562685093780848
5.424983476536681,0.17374136229022685,4.830138797091871,0.37709772951628806,4.469266358228685,0.5863770977295162,5.020489094514209,0.7482724580454096,4.409781890284204,1.0029615004935832
5.508261731658957,0.1776900296150048,5.163251817580965,0.3692003948667324,4.810310641110377,0.5646594274432377,5.353602115003303,0.7265547877591312,4.810310641110377,0.9654491609081934
,,5.389292795769993,0.36130306021717673,5.0323859881031066,0.5587364264560708,5.4923992068737615,0.7186574531095755,5.210839391936551,0.9299111549851924
,,5.484467944481164,0.36130306021717673,5.508261731658957,0.5409674234945707,,,5.496364838070059,0.9121421520236919
,,,,5.258426966292134,0.5547877591312931,,,,
